
Fitness Evaluations: 1
         Dimensions: 2
             Points: 16
            Optimum: Maximum


[0.8467641878262873 -4.485739288720924] -1.63702993012
[3.8648129970408416 7.641217537169405] -10.6048929297
[-7.089110440917219 7.212659511657824] -11.4459418816
[-3.519972849412964 4.938422425187779] -7.37936372338
[-0.23557890781233048 -6.254173654727786] -3.50536663502
[-0.09411934117003184 -1.0510696746862465] -0.601131835272
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
[0.6030268413948572 3.9617146847964153] -6.53148280473
[-7.089110440917219 7.212659511657824] -11.4459418816
[-3.519972849412964 4.938422425187779] -7.37936372338
[-0.23557890781233048 -6.254173654727786] -3.50536663502
[-0.09411934117003184 -1.0510696746862465] -0.601131835272
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
[0.6030268413948572 3.9617146847964153] -6.53148280473
[-3.8229659426485214 5.892230805060527] -9.74655427189
[-3.519972849412964 4.938422425187779] -7.37936372338
[-0.23557890781233048 -6.254173654727786] -3.50536663502
[-0.09411934117003184 -1.0510696746862465] -0.601131835272
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
[0.6030268413948572 3.9617146847964153] -6.53148280473
[-3.8229659426485214 5.892230805060527] -9.74655427189
[-2.588270923945582 0.8874296976931122] -5.57942994721
[-0.23557890781233048 -6.254173654727786] -3.50536663502
[-0.09411934117003184 -1.0510696746862465] -0.601131835272
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
[0.6030268413948572 3.9617146847964153] -6.53148280473
[-3.8229659426485214 5.892230805060527] -9.74655427189
[-2.588270923945582 0.8874296976931122] -5.57942994721
[-1.4977090903783066 -4.430809223255264] -4.14107414305
[-0.09411934117003184 -1.0510696746862465] -0.601131835272
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
[0.6030268413948572 3.9617146847964153] -6.53148280473
[-3.8229659426485214 5.892230805060527] -9.74655427189
[-2.588270923945582 0.8874296976931122] -5.57942994721
[-1.4977090903783066 -4.430809223255264] -4.14107414305
[0.6753198693722491 -1.1253565593697772] -0.00097907592726
[-1.9289067374644588 -5.0462912559319015] -5.22558555087
[-4.9008738471393105 -2.164517676003916] -6.11723427386
[-4.938670545695951 6.3479429316874665] -10.9622898251
[5.502801304718137 -1.282899788459357] -3.79815949565
[-0.5656097576241166 7.457368677322334] -10.5837110263
[2.8260891304413853 -2.5697692630229927] -1.91793883574
[6.580317744103663 -3.782145773404501] -4.9639807396
[2.7954557611674 -2.3608551448271093] -0.961121581093
[3.6011606587928817 -1.82230282803501] -2.01102049558
[3.33806664160805 6.761927394335828] -10.0019056682
[0.8467641878262873 -4.485739288720924] -1.63702993012
